Id;StartDate;Submit Date;NetworkID;Age;Gender;WorkingStatus;GeoLocation;BanksOpenAccount;WhyBank;ATMUsage;BankServices;EsejMobilno;InternetBankMoreUsage;ScoreBankingServices;InternetSafety;InternetBankingSafety;YouthBenefits
487;3.4.2015 14:14;3.4.2015 14:18;9e5ec39ca7510a35744e4f13a512aeb8a348a948;Od 19 do 25;Žensko;Student/ica;Primorsko-goranska županija;Hippo;Pristupaènost;Ne koristim bankomat;"Internet bankarstvo; Debitna ili kreditna kartica; Štednja; Provjera stanja na raèunu";;"Veæa sigurnost; Besplatne transakcije";5;3;4;3
488;3.4.2015 14:30;3.4.2015 14:35;bf89936e83af9342ff5d3dcdda28f88ec03d8393;Od 19 do 25;Žensko;Student/ica;Istarska županija;ERSTE;Pristupaènost;Jednom tjedno;"Debitna ili kreditna kartica; Štednja; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Veæa sigurnost";3;2;1;4
489;3.4.2015 14:32;3.4.2015 14:35;a6a714a32b6552f7e8184e3e142408a2e4cf7a17;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Raiffeisen;Preporuka prijatelja ili rodbine;Jednom tjedno;"Internet bankarstvo; Studentski paket (uljuèuje sve)";;Besplatne transakcije;5;3;3;6
490;3.4.2015 15:59;3.4.2015 16:03;45c0b7f030f4a1fa69038fe8d28dbcb97505eba0;Od 19 do 25;Žensko;Student/ica;Istarska županija;IKB Umag;Preporuka prijatelja ili rodbine;Jednom tjedno;"Internet bankarstvo; Provjera stanja na raèunu; Plaæanje raèuna";;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Besplatne transakcije";3;3;4;4
491;3.4.2015 17:18;3.4.2015 17:27;0474556a7e8ccb80ac841f0ca3f0b0daf47f42e9;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;hypo;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Debitna ili kreditna kartica; Štednja; Provjera stanja na raèunu";;jednostavno nemam potrebe za ovom uslugom;3;;;5
492;3.4.2015 18:06;3.4.2015 18:08;70acdf7c3f3c6512737d73034eb0dee02d0c2d14;Od 19 do 25;Žensko;Student/ica;Primorsko-goranska županija;HPB;Pristupaènost;Jednom u dva tjedna;"Debitna ili kreditna kartica; Provjera stanja na raèunu";;"Jednostavnija i jasnija usluga; Bolja uputstva za postavljanje Internet usluga";2;4;4;4
493;3.4.2015 18:15;3.4.2015 18:17;f5a633e895de24943725bcc7aa5d703ac1d42973;Od 19 do 25;Žensko;Student/ica;Zagrebaèka županija;"Zagrebaèka ; ERSTE; Raiffeisen";Preporuka prijatelja ili rodbine;Jednom tjedno;Štednja;;Jednostavnija i jasnija usluga;0;3;3;1
495;4.4.2015 9:15;4.4.2015 9:22;8a74da2e8ee936ce352f4d5a59306ef0f787687a;Od 19 do 25;Žensko;Student/ica;Istarska županija;"PBZ; ERSTE";Pristupaènost;Jednom tjedno;"Provjera stanja na raèunu; Plaæanje raèuna";;Veæa sigurnost;3;2;3;4
499;4.4.2015 17:40;4.4.2015 17:41;44d63e198fcb401e0cb9c3048c70c69d16a9e3a6;Od 19 do 25;Žensko;Student/ica;Primorsko-goranska županija;PBZ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Debitna ili kreditna kartica;;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga";2;2;2;3
500;5.4.2015 7:57;5.4.2015 8:03;b3bf61245357bee0754966e03f3d09d87ec15f7b;Od 19 do 25;Muško;Student/ica;Primorsko-goranska županija;Zagrebaèka ;Najbolji uvjeti i pogodnosti;Ne koristim bankomat;Ne koristim bankarske usluge;;"Jednostavnija i jasnija usluga; Veæa sigurnost";2;2;2;3
501;5.4.2015 10:06;5.4.2015 10:10;31b1f2372de0b6fa9eb6dc12afbff63bbf1ffa1d;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Provjera stanja na raèunu;;Veæa sigurnost;2;1;1;2
502;5.4.2015 13:19;5.4.2015 13:24;51d3dd83b47e04b154fab47dba193e4eca728985;Od 19 do 25;Žensko;Student/ica;Istarska županija;Zagrebaèka ;Najbolji uvjeti i pogodnosti;Jednom tjedno;"Mobilno bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;"Jednostavnija i jasnija usluga; Bolja uputstva za postavljanje Internet usluga; Besplatne transakcije";4;3;5;7
